CODE|ID|PASSWORD|NAME|GENDER|EDU_CODE|BIRTHDAY|TEL|EMAIL|ADDR|EXP_POSITION|EXP|LANG
26|ABCD06|1234|조재수|1|2|19910601|010-1234-0006|ABCD06@gmail.com|대전 동구|2|1|베트남어
27|ABCD07|1234|유승재|2|3|19930701|010-1234-0007|ABCD07@naver.com|경기 하남시||0|영어
28|ABCD08|1234|오지왕|1|5|19630801|010-1234-0008|ABCD08@nate.com|강원 고성군|4|10|
29|ABCD09|1234|권기도|1|3|19950901|010-1234-0009|ABCD09@hanmail.net|전남 여수시||0|중국어
30|ABCD10|1234|선별|2|3|19931001|010-1234-0010|ABCD10@yahoo.net|경북 예천군|3|3|일본어
31|캡틴성민|1234|박성민|1|2|19950128|010-8928-1778|tjdals@naver.com|경기 안양시|1|1|불어
32|현재과거미래|1234|김현재|1|3|19930423|010-2222-2222|excelhj@naver.com|경기 남양주시|2|2|영어
33|준혁왕자|1234|이준혁|1|5|19950120|02-3332-222|potoso3@naver.com|경기 안양시||0|광둥어
34|시흥대장근학|1234|이근학|1|3|19950731|010-3214-4422|rmsgkr@daum.net|경기 시흥시|1|2|일본어
35|의정부대찌개|1234|김나경|2|3|19930807|010-4293-2134|skrud@gmail.com|경기 의정부시|1|3|영어
36|규성짱|1234|최규성|1|4|19940612|010-1234-6421|rbtjd12@nate.com|경기 광주시||0|영어
37|피리부슨소녀|1234|윤가연|2|3|19940111|010-2144-5211|rkdus52@naver.com|서울 관악구|2|1|태국어
38|나는승환|1234|김승환|1|3|19950923|010-8872-1623|thks@naver.com|경기 화성시||0|힌두어	
39|덕소성애자|1234|구창모|1|1|19940101|010-4442-2132|ckdah@nate.com|경기 남양주시||0|
40|이지금|1234|아이유|2|5|19930516|010-7777-7777|iu@naver.com|서울 강남구||0|포루투칼어
41|박사장|1234|박재정|1|3|19990227|010-3212-1121|jpark1992@naver.com|서울 강남구|4|2|일본어
42|찬이는|1234|김운찬|1|1|19970521|010-9941-2115|chanjjang9797@nate.com|서울 중구||0|중국어
43|지금|1234|김지우|1|4|19950413|010-2326-6450|jigeum@gmail.com|경기 의왕시|2|1|영어
44|딸기좋아|1234|정효영|1|3|19960719|010-9987-7521|strbusan@naver.com|경기 화성시|1|2|일본어
45|개명할게|1234|김영완|1|3|19950923|010-2555-0178|wan2wan@gmail.com|서울 종로구||0|
46|smile|1234|김나은|2|5|19901122|010-3180-4437|smile23@daum.net|서울 용산구|3|3|영어
47|고양이집사|1234|나정은|2|2|19951212|010-2968-0852|lovecat@nate.com|서울 영등포구|1|1|중국어
48|한량|1234|서시은|2|3|19931031|010-3355-6942|hanrrang@naver.com|서울 노원구|8|1|영어
49|이사과|1234|이재성|1|1|19920113|010-9895-0112|sorry92@daum.net|서울 송파구|5|4|영어
50|오성|1234|오성일|1|3|19910709|010-5262-5543|5star@gmail.com|서울 서초구|11|5|중국어
51|카드값줘체리|1234|김정은|1|1|19910713|010-5555-5809|ajds@gmail.com|전북 전주시|10|3|일본어
52|짱구는 옷말려|1234|김1일|1|3|19840302|010-9999-4431|sadifj@gmail.com|전북 군산시|6|4|불어
53|짱구|1234|박지성|1|5|19921209|010-1233-7746|asdfjk@naver.com|강원 강릉시|7|10|영어
54|발광머리앤|1234|송종국|1|2|19911009|010-5553-0054|adsfjo@nate.com|강원 춘천시|6|1|일본어
55|반지하제왕|1234|김병지|1|3|19910723|010-6345-2134|qwke901@gmail.com|충북 제전시|9|3|영어
56|반지|1234|안정환|1|2|19980209|010-6543-1239|qdfo123@nate.com|충북 보령시|8|7|영어
57|제왕|1234|김병지|1|2|19930504|010-2341-2233|123hu@naver.com|충북 공주시|5|3|태국어
58|지하제왕|1234|이영지|2|1|19990305|010-2345-2309|kjj90@gmail.com|충남 대전시|11|4|중국어
59|생갈치1호의행방불명|1234|홍명보|1|1|19900712|010-9384-2378|aofij1234@gmail.com|전남 남원시|10|3|영어
60|헬젤|1234|김보슬|2|4|20000115|010-0923-8879|oqj94@gmail.com|경북 구미시|9|1|일본어
61|헨젤|1234|김이슬|2|5|19940329|010-2348-0093|difh990@naver.com|전남 광주시|6|3|중국어
62|헨젤과그랬대|1234|현정은|2|4|19910909|010-8758-1238|sadkf@gmail.com|제주 서귀포시|7|5|불어
63|그래|1234|김정석|1|2|19910816|010-9085-1122|pogjopf@naver.com|충남 천안시|8|4|영어
64|그랬대|1234|현자바|2|2|19910717|010-3459-4400|vbiv@gmail.com|경북 안동시|5|3|일본어
65|오즈|1234|이태성|2|3|19920206|010-0985-2239|adfhour7@gmail.com|강원 속초시|11|7|중국어
66|마법|1234|김준혁|2|3|19840718|010-1230-3999|oiqe091@gmail.com|전남 해남시|10|5|영어
67|마법사|1234|오1일|2|3|19800303|010-2439-1189|advnbo12@naver.com|전북 정읍시|9|3|불어
68|오즈의맙소사|1234|최충헌|1|3|19830912|010-8937-1188|asodf10@gmail.com|경남 부산시|6|1|영어
69|맙소사|1234|대조영|1|3|19920715|010-3498-5798|aoh3@nate.com|경남 통용시|7|10|불어
70|소사|1234|주몽|1|4|20000519|010-3498-2479|adoif9@nate.com|전북 익산시|8|9|영어
71|니이모를|1234|대길이|2|4|19901009|010-2346-2874|123adfs@naver.com|경북 상주시|11|7|스페인어
72|찾아서|1234|마뽀|1|5|19891102|010-7864-4508|sndf09@gmail.com|경북 문경시|10|5|영어
73|니이모를찾아서|1234|최진혁|2|3|19991112|010-2198-3874|adfe09@gmail.com|제주 제주시|7|4|영어
74|꼬막자동차|1234|김1길|1|3|20010117|010-2398-2187|one87@gmail.com|경북 안동시|7|1|중국어
75|꼬막|1234|박서준|1|3|19910619|010-9837-5979|dsfp1123@naver.com|전남 목포시|7|2|베트남어
76|붕붕|1234|방상혁|1|1|19880710|010-8374-3974|jjdiid@naver.com|강원 태백시|8|3|영어
77|자동차붕붕|1234|최헨젤|2|1|19990504|010-1079-3298|ilvoe@nate.com|경북 포항시|5|3|영어
78|봉봉|1234|최라하|2|2|20000319|010-5975-1378|love@gnate.com|경북 영주시|11|3|영어
79|이쑤|1234|이정길|1|2|20010301|010-2347-5903|papap@gmail.com|경남 울산시|10|1|일본어
80|신장군|1234|박혁거|1|1|19941231|010-0981-5880|hehehe@hanmail.net|강원 춘천시|6|7|영어
81|장군|1234|정잔디|2|1|19941225|010-8975-5876|iviviv@gmail.com|경북 안동시|9|3|힌두어
82|이쑤신장군|1234|의자왕|1|1|19951125|010-2346-5803|qwoeh9@nate.com|전북 김제시|8|4|영어
83|쑤신|1234|김들개|2|1|19951009|010-1098-3894|asdfh223@gmail.com|충남 계룡시|5|3|불어
84|뭔개|1234|최트리버|1|3|19950704|010-2347-3498|asdoh1238@naver.com|강원 동해시|11|6|베트남어
85|소문|1234|오시츄|2|3|19950514|010-3984-3498|dsjof@naver.com|경기 성남시|10|3|중국어
86|뭔개소문|1234|김티즈|2|3|19960606|010-7864-1509|dfnjr123@naver.com|경남 창원시|8|4|영어
87|강아지|1234|이블루|1|3|19970913|010-2048-1987|asdjfoi0494@hanmail.net|충남 천안시|5|1|베트남어
88|멍멍|1234|오필승|1|4|19980416|010-0984-3688|dldldld@naver.com|경북 영주시|11|3|영어
89|냥이|1234|제갈겨|1|4|19920819|010-1349-0982|ge@nate.com|경북 안동시||0|중국어
90|개냥이|1234|1충치|1|3|19930425|010-3748-2987|adsif09@nate.com|경북 문경시||0|영어
91|왈왈|1234|이일링|2|3|19941012|010-2874-7493|cksk8796@gmail.com|전북 군산시|9|9|
92|야옹|1234|최딱지|1|5|19951122|010-2347-8763|adfjh@gmail.com|강원 춘천시|6|6|독일어
93|코코코|1234|오호라|2|5|19961201|010-1209-0918|chlrbt@gmail.com|전남 광주시|7|4|
94|맞춤법은완벽|1234|누구냐|1|3|19970711|010-0981-2390|wldms12@naver.com|경북 구미시|8|8|불어
95|슬로우|1234|안녕히|1|3|19930701|010-2379-2349|gyffla998@naver.com|전남 광주시|5|3|
96|쭌마|1234|지우개|1|5|19980822|010-8945-1098|qkrgydbs@hanmail.net|충남 서산시|11|5|중국어
97|팔랑|1234|연필심|1|3|19990102|010-2794-1284|gpdys@gmail.com|충남 서산시|10|3|영어
98|도로시|1234|오지마|2|5|20000119|010-4763-2138|qasc1234@gmail.com|전북 전주시|7|1|일본어
99|극성|1234|최콩콩|1|3|19990206|010-1873-1903|qerihuosa@gmail.com|제주 제주시|4|2|힌두어
100|말하는대로|1234|김충만|1|5|19940611|010-0984-2347|ojqofj0@naver.com|경남 통영시|11|3|영어
